3,4,0.64835,0
3,2,0.80107,1
3,1,0.83103,0
2,5,0.61923,1
3,3,0.91041,0
2,0,1,0
3,1,0.82817,0
2,4,0.66598,1
2,4,0.84351,1
2,4,0.77036,1
2,3,0.94875,0
1,1,0.94756,0
3,0,1,0
3,4,0.52428,1
3,1,0.94181,0
3,0,1,0
1,3,0.78619,1
3,4,0.70061,0
3,1,0.91691,0
4,4,0.6802,0
3,2,0.94442,1
1,5,0.52886,1
2,5,0.66428,1
2,4,0.77261,0
3,4,0.88226,0
3,2,0.88951,0
2,5,0.69713,0
4,2,0.9309,0
3,5,0.74841,0
1,5,0.6595,0
3,0,1,0
2,2,0.81172,0
4,1,0.99665,0
2,5,0.74559,1
1,5,0.76109,0
3,1,0.89399,0
3,4,0.76572,0
2,4,0.91051,1
1,5,0.56294,1
2,4,0.85182,0
3,3,0.624,0
1,5,0.63802,1
2,3,0.77071,1
3,5,0.56996,0
2,5,0.62685,0
3,3,0.74753,0
1,0,1,0
2,2,0.9749,0
2,4,0.4877,1
3,3,0.57174,1
4,0,1,0
1,2,0.92071,0
1,0,1,0
2,1,0.92497,0
2,0,1,1
3,5,0.79651,0
2,5,0.81618,0
3,4,0.60785,1
2,4,0.90629,0
3,4,0.67497,0
4,4,0.79815,1
2,5,0.48535,1
2,3,0.8781,0
1,0,1,0
3,3,0.85351,0
3,5,0.58835,0
2,2,0.88065,1
4,2,0.93489,0
0,0,1,0
4,2,0.7262,1
2,2,0.78045,0
2,1,0.97998,0
4,4,0.62929,1
1,4,0.60881,1
3,0,1,0
2,5,0.54825,1
4,2,0.95532,0
3,5,0.58518,1
3,4,0.79916,0
3,3,0.86606,0
1,5,0.68073,1
1,3,0.55815,1
3,0,1,0
3,1,0.90872,0
2,1,0.96918,0
2,0,1,0
3,4,0.70771,1
2,4,0.6129,1
2,3,0.71325,1
2,4,0.65184,1
2,4,0.85137,0
3,5,0.70478,0
4,5,0.5235,1
2,4,0.68969,1
2,5,0.83246,1
3,3,0.741,0
4,1,0.87063,0
3,3,0.65169,1
3,5,0.68872,1
3,4,0.79421,1
3,2,0.77444,1
3,1,0.98802,0
4,5,0.48615,1
1,5,0.57052,1
3,5,0.58344,0
3,5,0.82419,1
4,1,0.93202,0
1,0,1,0
1,4,0.52608,0
3,2,0.96091,0
3,4,0.71091,1
3,5,0.66193,0
2,2,0.96477,1
2,5,0.53508,1
3,3,0.55772,1
2,3,0.44582,1
2,2,0.86186,0
4,4,0.57415,1
3,5,0.67165,1
3,4,0.75476,0
2,1,0.74024,0
1,0,1,0
3,1,0.98391,0
2,1,0.98318,0
2,3,0.89697,0
1,2,0.76343,1
1,0,1,0
3,4,0.69971,0
2,3,0.73718,1
1,4,0.58889,1
3,3,0.70659,1
3,5,0.56426,1
2,4,0.83228,0
1,4,0.76172,1
4,3,0.85233,0
4,4,0.52578,0
1,0,1,1
2,2,0.64023,0
4,1,0.74729,0
2,5,0.58815,1
2,4,0.59639,1
4,3,0.91435,0
3,2,0.76344,1
2,4,0.75487,1
3,3,0.88894,0
4,4,0.71837,1
3,4,0.6676,1
2,4,0.53466,1
3,0,1,0
3,3,0.80943,0
3,4,0.56205,1
3,0,1,0
3,4,0.73272,1
4,5,0.4244,1
3,4,0.61942,1
3,0,1,1
3,2,0.988,1
2,5,0.64858,1
4,2,0.86424,0
3,2,0.56581,1
4,1,0.95446,1
3,3,0.22332,0
4,5,0.62966,1
3,2,0.98901,0
2,3,0.85387,1
2,5,0.54596,0
2,4,0.87577,1
3,1,0.95946,0
2,0,1,0
3,5,0.67333,1
1,3,0.77425,1
2,1,0.80392,1
4,4,0.38055,0
3,2,0.9455,0
3,5,0.51058,1
3,2,0.80216,1
3,3,0.76237,1
1,1,0.93711,1
1,5,0.57455,1
2,0,1,0
3,2,0.69926,1
2,2,0.73083,0
2,5,0.70303,1
2,5,0.40911,1
3,3,0.7875,0
3,0,1,0
3,4,0.64711,1
3,2,0.86098,0
2,5,0.76343,0
2,5,0.52898,1
3,5,0.59344,1
3,0,1,0
3,3,0.61405,1
3,5,0.56463,1
3,3,0.92538,1
2,0,1,0
3,5,0.82716,0
3,1,0.94085,0
2,5,0.43923,1
1,0,1,0
2,4,0.76847,1
3,1,0.74797,1
4,1,0.98285,0
2,5,0.76802,0
2,5,0.69842,1
2,4,0.68777,1
4,4,0.63623,1
1,4,0.64884,1
2,5,0.71403,1
1,4,0.68484,0
2,4,0.73393,1
2,5,0.73521,1
3,4,0.7872,0
1,4,0.5182,1
4,5,0.76228,0
2,2,0.82047,1
3,5,0.44211,1
2,4,0.82164,0
3,2,0.92541,0
2,4,0.70128,0
2,5,0.76236,0
4,2,0.8365,1
3,4,0.75328,0
3,3,0.89884,0
3,4,0.76297,0
2,5,0.48978,1
2,4,0.49824,1
3,5,0.21772,1
3,0,1,0
4,3,0.67484,0
3,0,1,0
3,2,0.83753,0
1,4,0.65045,1
2,5,0.67851,1
2,4,0.68983,1
2,1,0.87713,0
2,4,0.53486,1
1,3,0.70652,0
2,4,0.52867,1
2,0,1,0
2,5,0.73322,0
2,3,0.62841,1
2,3,0.62982,1
1,4,0.73483,0
4,4,0.3517,1
3,0,1,0
4,4,0.72675,1
4,1,0.96359,0
2,0,1,0
3,5,0.71261,1
2,1,0.99876,0
2,0,1,0
3,5,0.56315,1
2,5,0.67592,0
1,1,0.92527,0
4,4,0.87798,1
4,5,0.70636,1
4,0,1,0
2,4,0.92928,0
3,4,0.57334,1
3,1,0.96342,1
4,5,0.73317,1
3,1,0.97555,1
3,0,1,0
4,4,0.75037,0
1,5,0.69567,0
1,4,0.56945,1
3,5,0.7628,0
2,0,1,0
1,1,0.86143,1
3,0,1,1
3,0,1,0
4,1,0.92953,0
3,5,0.78216,0
2,4,0.91171,0
2,0,1,0
4,3,0.57539,1
4,3,0.77899,1
3,4,0.69881,0
2,0,1,0
3,5,0.65721,1
4,4,0.89269,0
2,5,0.59399,0
3,3,0.84803,0
3,3,0.64194,1
1,5,0.49038,1
2,5,0.69361,0
1,4,0.5757,1
2,5,0.75134,1
2,5,0.59189,1
3,5,0.58548,1
2,0,1,0
3,3,0.63881,1
1,4,0.71158,1
2,5,0.58452,1
3,4,0.87822,0
4,3,0.50269,1
3,3,0.46815,0
3,0,1,0
3,1,0.97512,0
2,4,0.7571,0
2,0,1,0
1,1,0.96738,0
4,0,1,0
2,4,0.57534,1
3,1,0.85348,1
2,5,0.59749,1
3,1,0.97939,0
4,5,0.51124,1
3,5,0.42582,1
4,2,0.78831,0
2,5,0.5439,1
3,1,0.96632,0
2,5,0.52652,1
2,3,0.63567,0
3,1,0.89854,1
3,4,0.64626,1
3,5,0.70532,1
4,5,0.59118,1
2,2,0.64034,0
2,5,0.72493,1
3,0,1,0
3,0,1,0
3,3,0.71767,1
2,4,0.76176,0
2,4,0.70365,1
2,0,1,0
1,0,1,0
4,0,1,0
3,0,1,0
3,1,0.97732,0
1,4,0.56879,1
2,0,1,0
3,5,0.77085,0
3,3,0.8014,1
3,4,0.63106,1
2,2,0.77394,1
3,3,0.8084,0
2,5,0.53207,1
3,2,0.95798,0
3,4,0.46574,1
2,2,0.6235,0
1,5,0.6042,1
2,5,0.52069,1
3,5,0.4567,0
4,5,0.16833,1
3,5,0.66909,1
4,5,0.80437,0
2,4,0.61913,1
2,5,0.62188,1
2,3,0.66741,1
2,4,0.70544,0
3,3,0.77125,0
3,5,0.75331,0
3,0,1,0
3,4,0.68829,1
2,0,1,0
